pass_at_1_4096,pass_at_1_err_4096,pass_at_1_CI_low_4096,pass_at_1_CI_high_4096,pass_at_8_4096,pass_at_8_err_4096,pass_at_8_CI_low_4096,pass_at_8_CI_high_4096,pass_at_1_8192,pass_at_1_err_8192,pass_at_1_CI_low_8192,pass_at_1_CI_high_8192,pass_at_8_8192,pass_at_8_err_8192,pass_at_8_CI_low_8192,pass_at_8_CI_high_8192,pass_at_1_16384,pass_at_1_err_16384,pass_at_1_CI_low_16384,pass_at_1_CI_high_16384,pass_at_8_16384,pass_at_8_err_16384,pass_at_8_CI_low_16384,pass_at_8_CI_high_16384,pass_at_1_32768,pass_at_1_err_32768,pass_at_1_CI_low_32768,pass_at_1_CI_high_32768,pass_at_8_32768,pass_at_8_err_32768,pass_at_8_CI_low_32768,pass_at_8_CI_high_32768,years,model
0.08333333333,0.02083333333,0.04479166667,0.1479166667,0.2425472675,0.06063681689,0.1546146173,0.3486514779,0.08645833333,0.02161458333,0.04895833333,0.1539037558,0.2575472675,0.06438681689,0.169252487,0.3680085834,0.08645833333,0.02161458333,0.04908906478,0.1520833333,0.2575472675,0.06438681689,0.167116803,0.3691440314,0.08645833333,0.02161458333,0.04895833333,0.153125,0.2575472675,0.06438681689,0.1699203942,0.3660759239,2023/24,oumi-ai/MiniMath-R1-1.5B
0.08333333333,0.02083333333,0.03333333333,0.18125,0.2253794354,0.05634485884,0.1076068376,0.3866604091,0.08333333333,0.02083333333,0.03333333333,0.1791666667,0.2253794354,0.05634485884,0.1076042476,0.3852081579,0.08333333333,0.02083333333,0.03541666667,0.18125,0.2253794354,0.05634485884,0.1088862989,0.3818689837,0.08333333333,0.02083333333,0.03333333333,0.1845206479,0.2253794354,0.05634485884,0.1087179487,0.3842579643,2025,oumi-ai/MiniMath-R1-1.5B
0.1760416667,0.04401041667,0.1072916667,0.2760416667,0.3051476301,0.07628690754,0.2037239347,0.4215507855,0.365625,0.09140625,0.275,0.475,0.5772636623,0.1443159156,0.4594251261,0.6881126544,0.48125,0.1203125,0.3822916667,0.58125,0.7278192178,0.1819548045,0.6147393265,0.8213097332,0.5114583333,0.1278645833,0.4145833333,0.6104166667,0.7792812743,0.1948203186,0.6715256498,0.8640986355,2023/24,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B
0.1666666667,0.04166666667,0.07083333333,0.3145833333,0.2466640767,0.06166601917,0.1166666667,0.42998964,0.26875,0.0671875,0.15,0.425,0.4285470085,0.1071367521,0.2677777778,0.6019338803,0.3666666667,0.09166666667,0.2375,0.5104166667,0.5954364154,0.1488591039,0.4120194476,0.748309957,0.3833333333,0.09583333333,0.25,0.53125,0.5987490287,0.1496872572,0.4158484712,0.7633300295,2025,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B
0.09270833333,0.02317708333,0.04270833333,0.1791666667,0.1572222222,0.03930555556,0.08333333333,0.2611111111,0.1583333333,0.03958333333,0.096875,0.25,0.3178787879,0.07946969697,0.2204453339,0.4314956867,0.234375,0.05859375,0.159375,0.3291666667,0.4656099456,0.1164024864,0.3559366304,0.5783872304,0.2583333333,0.06458333333,0.1833333333,0.3572916667,0.5143550894,0.1285887723,0.3986009996,0.6239048039,2023/24,open-thoughts/OpenThinker-7B
0.1291666667,0.03229166667,0.04751924656,0.2666666667,0.2144444444,0.05361111111,0.09222222222,0.3733333333,0.2,0.05,0.09166666667,0.3541666667,0.2755529656,0.06888824139,0.1333333333,0.45,0.2291666667,0.05729166667,0.11875,0.3916666667,0.3421963222,0.08554908055,0.1922170422,0.5088396788,0.24375,0.0609375,0.125,0.4069166508,0.3933307433,0.09833268583,0.2422222222,0.55999482,2025,open-thoughts/OpenThinker-7B
0.2260416667,0.05651041667,0.1479166667,0.3290707065,0.3865527066,0.09663817664,0.2754204059,0.5080464321,0.4614583333,0.1153645833,0.3635416667,0.5645833333,0.710966071,0.1777415177,0.5895568419,0.8064433632,0.625,0.15625,0.521875,0.715625,0.8195182595,0.2048795649,0.711611789,0.8978933838,0.6520833333,0.1630208333,0.5541666667,0.7375,0.8515941466,0.2128985366,0.7498023073,0.9222684348,2023/24,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
0.2208333333,0.05520833333,0.1020833333,0.3854166667,0.3,0.075,0.1666666667,0.4666666667,0.35,0.0875,0.2145833333,0.5125,0.50997669,0.1274941725,0.3395254583,0.6677777778,0.4875,0.121875,0.3479166667,0.6291666667,0.6961201761,0.174030044,0.516003626,0.8323550024,0.51875,0.1296875,0.3708333333,0.6645833333,0.7054390054,0.1763597514,0.5266666667,0.8415618507,2025,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
0.1666666667,0.04166666667,0.09583333333,0.265625,0.278049728,0.06951243201,0.1795873281,0.3969121076,0.325,0.08125,0.234375,0.428125,0.5250893551,0.1312723388,0.4069520081,0.6384149787,0.4697916667,0.1174479167,0.3729166667,0.5677083333,0.6804558405,0.1701139601,0.5565823716,0.7875332685,0.5375,0.134375,0.4395833333,0.634375,0.7752978503,0.1938244626,0.65641451,0.8624951515,2023/24,simplescaling/s1.1-32B
0.20625,0.0515625,0.08958333333,0.3645833333,0.2333333333,0.05833333333,0.1,0.4,0.2916666667,0.07291666667,0.1708333333,0.4541666667,0.4914529915,0.1228632479,0.3235123674,0.6550049836,0.3875,0.096875,0.2604166667,0.5333333333,0.6796995597,0.1699248899,0.5058534059,0.8194117167,0.425,0.10625,0.2979166667,0.5666666667,0.7449313649,0.1862328412,0.5756251093,0.8662931878,2025,simplescaling/s1.1-32B
